Date,20211107_160528_0896
Motor Name,table
Record ID, Time(ms), X-Accel, Y-Accel, Z-Accel
65,16250,0.11772116,0.1457602,0.12007353
66,16500,0.10638236,0.1501472,0.1572973
67,16750,0.1600109,0.1491643,0.14244
68,17000,0.1632541,0.1530347,0.2075129
69,17250,0.1560006,0.1290183,0.1679089
70,17500,0.1462989,0.1297119,0.1431373
71,17750,0.1541334,0.157137,0.1546109
72,18000,0.128342,0.1878327,0.183061
73,18250,0.1454545,0.1666393,0.1472686
74,18500,0.1705676,0.1770848,0.132737
75,18750,0.1640577,0.1400368,0.1461933
76,19000,0.1753333,0.1575329,0.1850923
77,19250,0.1506764,0.1827951,0.139872
78,19500,0.1628659,0.178089,0.1572285
79,19750,0.1274227,0.1471418,0.1349838
80,20000,0.1441554,0.1401225,0.1260972
81,20250,0.165818,0.1410273,0.10972955
82,20500,0.1392823,0.1396887,0.11767968
83,20750,0.1192831,0.1622417,0.132278
84,21000,0.1452437,0.1341848,0.11233085
85,21250,0.1360005,0.1293968,0.1269282
86,21500,0.1713347,0.1604066,0.1565971
87,21750,0.1699683,0.1662525,0.136837
88,22000,0.12326612,0.1547359,0.10815934
89,22250,0.1559948,0.10921283,0.1270324
90,22500,0.1417594,0.1282903,0.1267265
91,22750,0.1536753,0.1283274,0.11922116
92,23000,0.140977,0.11813505,0.113603
93,23250,0.1407225,0.1475131,0.1376214
94,23500,0.1238779,0.1318878,0.1423645
95,23750,0.1848938,0.133747,0.1401829
96,24000,0.1682281,0.11922364,0.1512865
97,24250,0.1427913,0.1434441,0.10634409
98,24500,0.127852,0.1384928,0.1498415
99,24750,0.11678772,0.1489518,0.1348813
100,25000,0.1403541,0.1455982,0.1266781
101,25250,0.152011,0.1445248,0.1384318
102,25500,0.12117077,0.1549481,0.1297267
103,25750,0.1475007,0.1687282,0.1796901
104,26000,0.1307361,0.1466282,0.1669023
105,26250,0.1367995,0.12218017,0.1360693
106,26500,0.1447151,0.1303128,0.1361962
107,26750,0.1314884,0.1495585,0.11341584
108,27000,0.1605395,0.1457063,0.1244634
109,27250,0.1510918,0.12192716,0.1412076
110,27500,0.1415474,0.12126752,0.1413596
111,27750,0.12363209,0.1412376,0.1344809
112,28000,0.1235889,0.12368064,0.1399441
113,28250,0.1168856,0.1346384,0.1563747
114,28500,0.1308116,0.1339738,0.1298984
115,28750,0.1491372,0.136017,0.11423956
116,29000,0.1307408,0.14697,0.1284839
117,29250,0.11952503,0.1521465,0.1671778
118,29500,0.11734176,0.1569851,0.1523492
119,29750,0.1578874,0.150453,0.1459757
120,30000,0.1509421,0.1621669,0.1330684
121,30250,0.143723,0.149603,0.1399714
122,30500,0.1497653,0.1549693,0.1385148
123,30750,0.12187148,0.10507482,0.1136043
124,31000,0.1592049,0.1640529,0.1490693
125,31250,0.1729359,0.10637246,0.1327667
126,31500,0.1284035,0.10481599,0.1379043
127,31750,0.11291292,0.1519368,0.1670455
128,32000,0.1317534,0.1313628,0.10917703
129,32250,0.1339964,0.12268124,0.1314882
130,32500,0.1422899,0.1433852,0.12128469
131,32750,0.1300317,0.1571348,0.1123911
132,33000,0.1435201,0.1683871,0.12378684
133,33250,0.1438414,0.12270881,0.09987099
134,33500,0.1485051,0.11842965,0.1334813
135,33750,0.1380368,0.1628154,0.17022
136,34000,0.142651,0.1304397,0.1602955
137,34250,0.1608267,0.1257454,0.1254011
138,34500,0.1423174,0.1488404,0.182994
139,34750,0.180994,0.12177601,0.186228
140,35000,0.11324444,0.1374053,0.1703733
141,35250,0.169817,0.155098,0.1564086
142,35500,0.1324737,0.1621524,0.1388909
143,35750,0.1359674,0.1593405,0.1504141
144,36000,0.11380173,0.1412789,0.12145187
145,36250,0.1795348,0.1512253,0.1344433
146,36500,0.1604602,0.1649951,0.1411217
147,36750,0.1466908,0.1358248,0.1252161
148,37000,0.1433584,0.11971655,0.1593723
149,37250,0.1190849,0.1355762,0.1703875
150,37500,0.1843315,0.12294024,0.137962
151,37750,0.1832045,0.136832,0.10965467
152,38000,0.1301115,0.11942226,0.1440578
153,38250,0.1691777,0.1357584,0.1531008
154,38500,0.12456565,0.1366526,0.1345737
155,38750,0.12086815,0.12083217,0.1310853
156,39000,0.1602418,0.1358696,0.1315122
157,39250,0.1399834,0.11778074,0.1371199
158,39500,0.11760937,0.130588,0.1549771
159,39750,0.1353809,0.1408242,0.1328931
160,40000,0.1376531,0.1792231,0.1497862
161,40250,0.1435649,0.1408551,0.1649226
162,40500,0.1324823,0.1607071,0.12377375
163,40750,0.1345626,0.1261708,0.1373795
164,41000,0.1347239,0.1295347,0.11730814
165,41250,0.12344063,0.11545631,0.154444
166,41500,0.12122738,0.1306519,0.1341323
167,41750,0.12373233,0.1333897,0.1673568
168,42000,0.11585291,0.1343367,0.12192195
169,42250,0.1781235,0.1297197,0.1430655
170,42500,0.11307904,0.1396906,0.1363508
171,42750,0.1309481,0.11059686,0.10895009
172,43000,0.1382452,0.1375993,0.11900058
173,43250,0.154512,0.1219362,0.1312145
174,43500,0.190334,0.1678039,0.1268674
175,43750,0.1512252,0.1577824,0.12262855
176,44000,0.11176925,0.1590739,0.11844651
177,44250,0.151037,0.146776,0.1283679
178,44500,0.1435151,0.1508378,0.1060328
179,44750,0.1573768,0.1504454,0.133847
180,45000,0.1439919,0.1322831,0.1397639
181,45250,0.10287255,0.1555936,0.10343481
182,45500,0.1720347,0.1419661,0.1560728
183,45750,0.11831186,0.131872,0.1272722
184,46000,0.1482305,0.1377681,0.1892108
185,46250,0.12218779,0.1222022,0.1389939
186,46500,0.1242396,0.1391688,0.1618337
187,46750,0.1442195,0.140648,0.1343837
188,47000,0.1439066,0.1316035,0.1435527
189,47250,0.147371,0.1692743,0.1623669
190,47500,0.12451073,0.10928227,0.1377134
191,47750,0.09895306,0.1395409,0.1329634
192,48000,0.1585617,0.1292156,0.11165456
193,48250,0.14518,0.1298913,0.1366407
194,48500,0.11863746,0.131791,0.1957191
195,48750,0.150787,0.1574244,0.1707369
196,49000,0.1451379,0.1283679,0.1379771
197,49250,0.1566636,0.1663526,0.1447234
198,49500,0.12170491,0.158699,0.152548
199,49750,0.135124,0.1336789,0.1405192
200,50000,0.1741189,0.1600887,0.1309644
201,50250,0.1333193,0.128101,0.1451458
202,50500,0.1488457,0.11134573,0.11362841
203,50750,0.11713854,0.154648,0.1490104
204,51000,0.162182,0.1363773,0.1497304
205,51250,0.1435831,0.186299,0.0965289
206,51500,0.1482972,0.1396292,0.1573026
207,51750,0.1297298,0.10804077,0.11014674
208,52000,0.1284231,0.1383822,0.11371458
209,52250,0.1433039,0.1588375,0.12031134
210,52500,0.11778872,0.1428715,0.11013418
211,52750,0.1394791,0.1446118,0.123078
212,53000,0.161982,0.1948999,0.1664115
213,53250,0.1614605,0.1670048,0.1855343
214,53500,0.1725142,0.1968479,0.1538936
215,53750,0.1514607,0.1443209,0.1516465
216,54000,0.1295184,0.1274179,0.1468495
217,54250,0.1342355,0.1388942,0.187166
218,54500,0.1417628,0.1462911,0.1426072
219,54750,0.1473445,0.1456566,0.1490839
220,55000,0.1432126,0.1359737,0.11377759
221,55250,0.1580059,0.1620138,0.1452062
222,55500,0.1278288,0.136661,0.1460332
223,55750,0.10998199,0.1271263,0.1307337
224,56000,0.1595375,0.1388572,0.11811708
225,56250,0.1211215,0.11375763,0.1664318
226,56500,0.1370789,0.1549569,0.1627003
227,56750,0.1467378,0.1582253,0.1285991
228,57000,0.1375694,0.1537937,0.1408002
229,57250,0.1471703,0.1274116,0.1454935
230,57500,0.152763,0.1645528,0.1414982
231,57750,0.127469,0.1651894,0.1320869
232,58000,0.1906525,0.1404657,0.1440149
233,58250,0.1475259,0.1330053,0.151069
234,58500,0.1477725,0.1575359,0.1318049
235,58750,0.1392138,0.12297235,0.1418543
236,59000,0.1545425,0.1297202,0.1432083
237,59250,0.1388181,0.1520736,0.1388316
238,59500,0.1469253,0.1687546,0.1499697
239,59750,0.152184,0.1379054,0.1248979
240,60000,0.1615961,0.1322029,0.12210773
241,60250,0.1484983,0.1542423,0.11942314
242,60500,0.11446711,0.1689093,0.11474541
243,60750,0.1293839,0.1310054,0.1391391
244,61000,0.1335511,0.1617256,0.12254905
245,61250,0.1378008,0.12076159,0.1573093
246,61500,0.1572378,0.1656246,0.09357309
247,61750,0.1371486,0.1671557,0.1583412
248,62000,0.1264506,0.12381233,0.1189473
249,62250,0.10807128,0.135805,0.1484571
